age_group,n_total,age_mean,age_sd,age_min,age_max,n_females
3,19,3.62,0.31,3.04,3.99,7
4,17,4.45,0.3,4.05,4.91,9
5,22,5.56,0.31,5.08,5.99,13
6,24,6.5,0.28,6.1,6.99,16
7,39,7.48,0.25,7.04,7.95,20
8,41,8.46,0.27,8.03,8.98,20
9,56,9.46,0.28,9.01,9.96,29
10,35,10.49,0.28,10.01,11,22
11,54,11.43,0.28,11.01,11.96,26
12,43,12.41,0.3,12.01,12.99,19
13,42,13.5,0.27,13.09,13.99,19
14,20,14.37,0.23,14.05,14.98,14
15,21,15.56,0.3,15.05,15.98,11
16,19,16.51,0.24,16.17,16.97,10
17,19,17.53,0.28,17.01,17.95,10
18,2,18,0,18,18,0
19,5,19,0,19,19,4
20,40,23.02,2.77,20,29,25
30,40,34.42,3,30,39,21
40,40,44.17,2.92,40,49,24
50,40,54.38,3.04,50,59,21
60,40,63.73,2.56,60,69,21
70,40,72.75,2.44,70,79,20
